checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,default,credit_income_ratio,monthly_payment,age_group,credit_amount_bin,duration_category,has_checking,good_credit_history,stable_employment,owns_property,owns_housing
0-200 DM,12,Existing credits paid till now,Car (new),1295,< 100 DM,< 1 year,3,Female: divorced/married,None,1,Car or other,25,None,Rent,1,Skilled employee,1,None,Yes,1,323.75,107.91666666666667,18-25,Low,Short (1yr),1,1,0,0,0
< 0 DM,48,Existing credits paid till now,Business,4308,< 100 DM,< 1 year,3,Female: divorced/married,None,4,Savings/life insurance,24,None,Rent,1,Skilled employee,1,None,Yes,1,1077.0,89.75,18-25,Very High,Long (2-4yr),1,1,0,0,0
0-200 DM,12,Existing credits paid till now,Radio/TV,1567,< 100 DM,1-4 years,1,Female: divorced/married,None,1,Car or other,22,None,Own,1,Skilled employee,1,Yes,Yes,0,783.5,130.58333333333334,18-25,Medium,Short (1yr),1,1,0,0,1
< 0 DM,24,Critical account,Car (new),1199,< 100 DM,>= 7 years,4,Male: single,None,4,Car or other,60,None,Own,2,Unskilled resident,1,None,Yes,1,239.8,49.958333333333336,55+,Low,Medium (1-2yr),1,0,1,0,1
< 0 DM,15,Existing credits paid till now,Car (new),1403,< 100 DM,1-4 years,2,Female: divorced/married,None,4,Car or other,28,None,Rent,1,Skilled employee,1,None,Yes,0,467.6666666666667,93.53333333333333,26-35,Medium,Medium (1-2yr),1,1,0,0,0
< 0 DM,24,Existing credits paid till now,Radio/TV,1282,100-500 DM,1-4 years,4,Female: divorced/married,None,2,Car or other,32,None,Own,1,Unskilled resident,1,None,Yes,1,256.4,53.416666666666664,26-35,Low,Medium (1-2yr),1,1,0,0,1
No checking account,24,Critical account,Radio/TV,2424,Unknown/none,>= 7 years,4,Male: single,None,4,Savings/life insurance,53,None,Own,2,Skilled employee,1,None,Yes,0,484.8,101.0,46-55,High,Medium (1-2yr),0,0,1,0,1
< 0 DM,30,No credits/all paid,Business,8072,Unknown/none,< 1 year,2,Male: single,None,3,Car or other,25,Bank,Own,3,Skilled employee,1,None,Yes,0,2690.6666666666665,269.06666666666666,18-25,Very High,Long (2-4yr),1,1,0,0,1
0-200 DM,24,Existing credits paid till now,Car (used),12579,< 100 DM,>= 7 years,4,Female: divorced/married,None,2,Unknown/none,44,None,For free,1,Highly skilled/self-employed,1,Yes,Yes,1,2515.8,524.125,36-45,Very High,Medium (1-2yr),1,1,1,0,0
No checking account,24,Existing credits paid till now,Radio/TV,3430,500-1000 DM,>= 7 years,3,Male: single,None,2,Car or other,31,None,Own,1,Skilled employee,2,Yes,Yes,0,857.5,142.91666666666666,26-35,High,Medium (1-2yr),0,1,1,0,1
No checking account,9,Critical account,Car (new),2134,< 100 DM,1-4 years,4,Male: single,None,4,Car or other,48,None,Own,3,Skilled employee,1,Yes,Yes,0,426.8,237.11111111111111,46-55,Medium,Short (1yr),0,0,0,0,1
< 0 DM,6,Existing credits paid till now,Radio/TV,2647,500-1000 DM,1-4 years,2,Male: single,None,3,Real estate,44,None,Rent,1,Skilled employee,2,None,Yes,0,882.3333333333334,441.1666666666667,36-45,High,Short (1yr),1,1,0,1,0
< 0 DM,10,Critical account,Car (new),2241,< 100 DM,< 1 year,1,Male: single,None,3,Real estate,48,None,Rent,2,Unskilled resident,2,None,No,0,1120.5,224.1,46-55,Medium,Short (1yr),1,0,0,1,0
0-200 DM,12,Critical account,Car (used),1804,100-500 DM,< 1 year,3,Male: single,None,4,Savings/life insurance,44,None,Own,1,Skilled employee,1,None,Yes,0,451.0,150.33333333333334,36-45,Medium,Short (1yr),1,0,0,0,1
No checking account,10,Critical account,Furniture/equipment,2069,Unknown/none,1-4 years,2,Male: married/widowed,None,1,Car or other,26,None,Own,2,Skilled employee,1,None,No,0,689.6666666666666,206.9,26-35,Medium,Short (1yr),0,0,0,0,1
< 0 DM,6,Existing credits paid till now,Furniture/equipment,1374,< 100 DM,1-4 years,1,Male: single,None,2,Real estate,36,Bank,Own,1,Unskilled resident,1,Yes,Yes,0,687.0,229.0,36-45,Medium,Short (1yr),1,1,0,1,1
No checking account,6,No credits/all paid,Radio/TV,426,< 100 DM,>= 7 years,4,Male: married/widowed,None,4,Car or other,39,None,Own,1,Unskilled resident,1,None,Yes,0,85.2,71.0,36-45,Low,Short (1yr),0,1,1,0,1
>= 200 DM,12,All credits paid at this bank,Radio/TV,409,>= 1000 DM,1-4 years,3,Female: divorced/married,None,3,Real estate,42,None,Rent,2,Skilled employee,1,None,Yes,0,102.25,34.083333333333336,36-45,Low,Short (1yr),1,1,0,1,0
0-200 DM,7,Existing credits paid till now,Radio/TV,2415,< 100 DM,1-4 years,3,Male: single,Guarantor,2,Real estate,34,None,Own,1,Skilled employee,1,None,Yes,0,603.75,345.0,26-35,High,Short (1yr),1,1,0,1,1
< 0 DM,60,Delay in past payments,Business,6836,< 100 DM,>= 7 years,3,Male: single,None,4,Unknown/none,63,None,Own,2,Skilled employee,1,Yes,Yes,1,1709.0,113.93333333333334,55+,Very High,Very Long (4yr+),1,0,1,0,1
0-200 DM,18,Existing credits paid till now,Business,1913,>= 1000 DM,< 1 year,3,Male: married/widowed,None,3,Real estate,36,Bank,Own,1,Skilled employee,1,Yes,Yes,0,478.25,106.27777777777777,36-45,Medium,Medium (1-2yr),1,1,0,1,1
< 0 DM,24,Existing credits paid till now,Furniture/equipment,4020,< 100 DM,1-4 years,2,Male: single,None,2,Car or other,27,Stores,Own,1,Skilled employee,1,None,Yes,0,1340.0,167.5,26-35,Very High,Medium (1-2yr),1,1,0,0,1
0-200 DM,18,Existing credits paid till now,Car (new),5866,100-500 DM,1-4 years,2,Male: single,None,2,Car or other,30,None,Own,2,Skilled employee,1,Yes,Yes,0,1955.3333333333333,325.8888888888889,26-35,Very High,Medium (1-2yr),1,1,0,0,1
No checking account,12,Critical account,Business,1264,Unknown/none,>= 7 years,4,Male: single,None,4,Unknown/none,57,None,Rent,1,Unskilled resident,1,None,Yes,0,252.8,105.33333333333333,55+,Low,Short (1yr),0,0,1,0,0
>= 200 DM,12,Existing credits paid till now,Furniture/equipment,1474,< 100 DM,< 1 year,4,Female: divorced/married,None,1,Savings/life insurance,33,Bank,Own,1,Highly skilled/self-employed,1,Yes,Yes,0,294.8,122.83333333333333,26-35,Medium,Short (1yr),1,1,0,0,1
0-200 DM,45,Critical account,Radio/TV,4746,< 100 DM,< 1 year,4,Male: single,None,2,Savings/life insurance,25,None,Own,2,Unskilled resident,1,None,Yes,1,949.2,105.46666666666667,18-25,Very High,Long (2-4yr),1,0,0,0,1
No checking account,48,Critical account,Education,6110,< 100 DM,1-4 years,1,Male: single,None,3,Unknown/none,31,Bank,For free,1,Skilled employee,1,Yes,Yes,0,3055.0,127.29166666666667,26-35,Very High,Long (2-4yr),0,0,0,0,0
>= 200 DM,18,Existing credits paid till now,Radio/TV,2100,< 100 DM,1-4 years,4,Male: single,Co-applicant,2,Real estate,37,Stores,Own,1,Skilled employee,1,None,Yes,1,420.0,116.66666666666667,36-45,Medium,Medium (1-2yr),1,1,0,1,1
>= 200 DM,10,Existing credits paid till now,Domestic appliances,1225,< 100 DM,1-4 years,2,Male: single,None,2,Car or other,37,None,Own,1,Skilled employee,1,Yes,Yes,0,408.3333333333333,122.5,36-45,Low,Short (1yr),1,1,0,0,1
0-200 DM,9,Existing credits paid till now,Radio/TV,458,< 100 DM,1-4 years,4,Male: single,None,3,Real estate,24,None,Own,1,Skilled employee,1,None,Yes,0,91.6,50.888888888888886,18-25,Low,Short (1yr),1,1,0,1,1
No checking account,30,Existing credits paid till now,Radio/TV,2333,500-1000 DM,>= 7 years,4,Male: single,None,2,Car or other,30,Bank,Own,1,Highly skilled/self-employed,1,None,Yes,0,466.6,77.76666666666667,26-35,High,Long (2-4yr),0,1,1,0,1
0-200 DM,12,Existing credits paid till now,Radio/TV,1158,500-1000 DM,1-4 years,3,Male: divorced/separated,None,1,Car or other,26,None,Own,1,Skilled employee,1,Yes,Yes,0,289.5,96.5,26-35,Low,Short (1yr),1,1,0,0,1
0-200 DM,18,Delay in past payments,Repairs,6204,< 100 DM,1-4 years,2,Male: single,None,4,Real estate,44,None,Own,1,Unskilled resident,2,Yes,Yes,0,2068.0,344.6666666666667,36-45,Very High,Medium (1-2yr),1,0,0,1,1
< 0 DM,30,Critical account,Car (used),6187,100-500 DM,4-7 years,1,Male: married/widowed,None,4,Car or other,24,None,Rent,2,Skilled employee,1,None,Yes,0,3093.5,206.23333333333332,18-25,Very High,Long (2-4yr),1,0,1,0,0
< 0 DM,48,Critical account,Car (used),6143,< 100 DM,>= 7 years,4,Female: divorced/married,None,4,Unknown/none,58,Stores,For free,2,Unskilled resident,1,None,Yes,1,1228.6,127.97916666666667,55+,Very High,Long (2-4yr),1,0,1,0,0
No checking account,11,Critical account,Car (new),1393,< 100 DM,< 1 year,4,Female: divorced/married,None,4,Car or other,35,None,Own,2,Highly skilled/self-employed,1,None,Yes,0,278.6,126.63636363636364,26-35,Medium,Short (1yr),0,0,0,0,1
No checking account,36,Existing credits paid till now,Radio/TV,2299,500-1000 DM,>= 7 years,4,Male: single,None,4,Car or other,39,None,Own,1,Skilled employee,1,None,Yes,0,459.8,63.861111111111114,36-45,Medium,Long (2-4yr),0,1,1,0,1
< 0 DM,6,Existing credits paid till now,Car (used),1352,500-1000 DM,Unemployed,1,Female: divorced/married,None,2,Savings/life insurance,23,None,Rent,1,Unemployed/unskilled non-resident,1,Yes,Yes,0,676.0,225.33333333333334,18-25,Low,Short (1yr),1,1,0,0,0
No checking account,11,Critical account,Car (new),7228,< 100 DM,1-4 years,1,Male: single,None,4,Savings/life insurance,39,None,Own,2,Unskilled resident,1,None,Yes,0,3614.0,657.0909090909091,36-45,Very High,Short (1yr),0,0,0,0,1
No checking account,12,Existing credits paid till now,Radio/TV,2073,100-500 DM,1-4 years,4,Female: divorced/married,Co-applicant,2,Real estate,28,None,Own,1,Skilled employee,1,None,Yes,0,414.6,172.75,26-35,Medium,Short (1yr),0,1,0,1,1
0-200 DM,24,Delay in past payments,Furniture/equipment,2333,Unknown/none,< 1 year,4,Male: single,None,2,Savings/life insurance,29,Bank,Own,1,Unskilled resident,1,None,Yes,0,466.6,97.20833333333333,26-35,High,Medium (1-2yr),1,0,0,0,1
0-200 DM,27,Delay in past payments,Car (used),5965,< 100 DM,>= 7 years,1,Male: single,None,2,Car or other,30,None,Own,2,Highly skilled/self-employed,1,Yes,Yes,0,2982.5,220.92592592592592,26-35,Very High,Long (2-4yr),1,0,1,0,1
No checking account,12,Existing credits paid till now,Radio/TV,1262,< 100 DM,1-4 years,3,Male: single,None,2,Car or other,25,None,Own,1,Skilled employee,1,None,Yes,0,315.5,105.16666666666667,18-25,Low,Short (1yr),0,1,0,0,1
No checking account,18,Existing credits paid till now,Car (used),3378,Unknown/none,1-4 years,2,Male: single,None,1,Savings/life insurance,31,None,Own,1,Skilled employee,1,Yes,Yes,0,1126.0,187.66666666666666,26-35,High,Medium (1-2yr),0,1,0,0,1
0-200 DM,36,Delay in past payments,Car (new),2225,< 100 DM,>= 7 years,4,Male: single,None,4,Unknown/none,57,Bank,For free,2,Skilled employee,1,Yes,Yes,1,445.0,61.80555555555556,55+,Medium,Long (2-4yr),1,0,1,0,0
No checking account,6,All credits paid at this bank,Car (new),783,Unknown/none,1-4 years,1,Male: single,Guarantor,2,Real estate,26,Stores,Own,1,Unskilled resident,2,None,Yes,0,391.5,130.5,26-35,Low,Short (1yr),0,1,0,1,1
0-200 DM,12,Existing credits paid till now,Radio/TV,6468,Unknown/none,Unemployed,2,Male: single,None,1,Unknown/none,52,None,Own,1,Highly skilled/self-employed,1,Yes,Yes,1,2156.0,539.0,46-55,Very High,Short (1yr),1,1,0,0,1
No checking account,36,Critical account,Radio/TV,9566,< 100 DM,1-4 years,2,Female: divorced/married,None,2,Car or other,31,Stores,Own,2,Skilled employee,1,None,Yes,0,3188.6666666666665,265.72222222222223,26-35,Very High,Long (2-4yr),0,0,0,0,1
>= 200 DM,18,Existing credits paid till now,Car (new),1961,< 100 DM,>= 7 years,3,Female: divorced/married,None,2,Car or other,23,None,Own,1,Highly skilled/self-employed,1,None,Yes,0,490.25,108.94444444444444,18-25,Medium,Medium (1-2yr),1,1,1,0,1
< 0 DM,36,Critical account,Furniture/equipment,6229,< 100 DM,< 1 year,4,Female: divorced/married,Co-applicant,4,Unknown/none,23,None,Rent,2,Unskilled resident,1,Yes,Yes,1,1245.8,173.02777777777777,18-25,Very High,Long (2-4yr),1,0,0,0,0
0-200 DM,9,Existing credits paid till now,Business,1391,< 100 DM,1-4 years,2,Male: married/widowed,None,1,Real estate,27,Bank,Own,1,Skilled employee,1,Yes,Yes,0,463.6666666666667,154.55555555555554,26-35,Medium,Short (1yr),1,1,0,1,1
0-200 DM,15,Critical account,Radio/TV,1537,Unknown/none,>= 7 years,4,Male: single,Guarantor,4,Real estate,50,None,Own,2,Skilled employee,1,Yes,Yes,0,307.4,102.46666666666667,46-55,Medium,Medium (1-2yr),1,0,1,1,1
0-200 DM,36,No credits/all paid,Business,1953,< 100 DM,>= 7 years,4,Male: single,None,4,Unknown/none,61,None,For free,1,Highly skilled/self-employed,1,Yes,Yes,1,390.6,54.25,55+,Medium,Long (2-4yr),1,1,1,0,0
0-200 DM,48,No credits/all paid,Business,14421,< 100 DM,1-4 years,2,Male: single,None,2,Car or other,25,None,Own,1,Skilled employee,1,Yes,Yes,1,4807.0,300.4375,18-25,Very High,Long (2-4yr),1,1,0,0,1
No checking account,24,Existing credits paid till now,Radio/TV,3181,< 100 DM,< 1 year,4,Female: divorced/married,None,4,Savings/life insurance,26,None,Own,1,Skilled employee,1,Yes,Yes,0,636.2,132.54166666666666,26-35,High,Medium (1-2yr),0,1,0,0,1
No checking account,27,Existing credits paid till now,Repairs,5190,Unknown/none,>= 7 years,4,Male: single,None,4,Savings/life insurance,48,None,Own,4,Skilled employee,2,Yes,Yes,0,1038.0,192.22222222222223,46-55,Very High,Long (2-4yr),0,1,1,0,1
No checking account,12,Existing credits paid till now,Radio/TV,2171,< 100 DM,< 1 year,2,Female: divorced/married,None,2,Car or other,29,Bank,Own,1,Skilled employee,1,None,Yes,0,723.6666666666666,180.91666666666666,26-35,Medium,Short (1yr),0,1,0,0,1
0-200 DM,12,Existing credits paid till now,Car (new),1007,>= 1000 DM,1-4 years,4,Male: married/widowed,None,1,Real estate,22,None,Own,1,Skilled employee,1,None,Yes,0,201.4,83.91666666666667,18-25,Low,Short (1yr),1,1,0,1,1
No checking account,36,Existing credits paid till now,Education,1819,< 100 DM,1-4 years,4,Male: single,None,4,Unknown/none,37,Stores,For free,1,Skilled employee,1,Yes,Yes,1,363.8,50.52777777777778,36-45,Medium,Long (2-4yr),0,1,0,0,0
No checking account,36,Existing credits paid till now,Radio/TV,2394,Unknown/none,1-4 years,4,Female: divorced/married,None,4,Car or other,25,None,Own,1,Skilled employee,1,None,Yes,0,478.8,66.5,18-25,High,Long (2-4yr),0,1,0,0,1
No checking account,36,Existing credits paid till now,Car (used),8133,< 100 DM,1-4 years,1,Female: divorced/married,None,2,Savings/life insurance,30,Bank,Own,1,Skilled employee,1,None,Yes,0,4066.5,225.91666666666666,26-35,Very High,Long (2-4yr),0,1,0,0,1
No checking account,7,Critical account,Radio/TV,730,Unknown/none,>= 7 years,4,Male: single,None,2,Savings/life insurance,46,None,Rent,2,Unskilled resident,1,Yes,Yes,0,146.0,104.28571428571429,46-55,Low,Short (1yr),0,0,1,0,0
< 0 DM,8,Critical account,Others,1164,< 100 DM,>= 7 years,3,Male: single,None,4,Unknown/none,51,Bank,For free,2,Highly skilled/self-employed,2,Yes,Yes,0,291.0,145.5,46-55,Low,Short (1yr),1,0,1,0,0
0-200 DM,42,Critical account,Business,5954,< 100 DM,4-7 years,2,Female: divorced/married,None,1,Real estate,41,Bank,Own,2,Unskilled resident,1,None,Yes,0,1984.6666666666667,141.76190476190476,36-45,Very High,Long (2-4yr),1,0,1,1,1
< 0 DM,36,Existing credits paid till now,Education,1977,Unknown/none,>= 7 years,4,Male: single,None,4,Unknown/none,40,None,Own,1,Highly skilled/self-employed,1,Yes,Yes,1,395.4,54.916666666666664,36-45,Medium,Long (2-4yr),1,1,1,0,1
< 0 DM,12,Critical account,Car (used),1526,< 100 DM,>= 7 years,4,Male: single,None,4,Unknown/none,66,None,For free,2,Highly skilled/self-employed,1,None,Yes,0,305.2,127.16666666666667,55+,Medium,Short (1yr),1,0,1,0,0
< 0 DM,42,Existing credits paid till now,Radio/TV,3965,< 100 DM,< 1 year,4,Male: single,None,3,Car or other,34,None,Own,1,Skilled employee,1,None,Yes,1,793.0,94.4047619047619,26-35,High,Long (2-4yr),1,1,0,0,1
0-200 DM,11,Delay in past payments,Radio/TV,4771,< 100 DM,4-7 years,2,Male: single,None,4,Savings/life insurance,51,None,Own,1,Skilled employee,1,None,Yes,0,1590.3333333333333,433.72727272727275,46-55,Very High,Short (1yr),1,0,1,0,1
No checking account,54,No credits/all paid,Car (used),9436,Unknown/none,1-4 years,2,Male: single,None,2,Savings/life insurance,39,None,Own,1,Unskilled resident,2,None,Yes,0,3145.3333333333335,174.74074074074073,36-45,Very High,Very Long (4yr+),0,1,0,0,1
0-200 DM,30,Existing credits paid till now,Furniture/equipment,3832,< 100 DM,< 1 year,2,Male: married/widowed,None,1,Savings/life insurance,22,None,Own,1,Skilled employee,1,None,Yes,0,1277.3333333333333,127.73333333333333,18-25,High,Long (2-4yr),1,1,0,0,1
No checking account,24,Existing credits paid till now,Radio/TV,5943,Unknown/none,< 1 year,1,Female: divorced/married,None,1,Car or other,44,None,Own,2,Skilled employee,1,Yes,Yes,1,2971.5,247.625,36-45,Very High,Medium (1-2yr),0,1,0,0,1
No checking account,15,Existing credits paid till now,Radio/TV,1213,500-1000 DM,>= 7 years,4,Male: single,None,3,Savings/life insurance,47,Stores,Own,1,Skilled employee,1,Yes,Yes,0,242.6,80.86666666666666,46-55,Low,Medium (1-2yr),0,1,1,0,1
No checking account,18,Existing credits paid till now,Business,1568,100-500 DM,1-4 years,3,Female: divorced/married,None,4,Savings/life insurance,24,None,Rent,1,Unskilled resident,1,None,Yes,0,392.0,87.11111111111111,18-25,Medium,Medium (1-2yr),0,1,0,0,0
< 0 DM,24,Existing credits paid till now,Others,1755,< 100 DM,>= 7 years,4,Female: divorced/married,Guarantor,4,Real estate,58,None,Own,1,Unskilled resident,1,Yes,Yes,0,351.0,73.125,55+,Medium,Medium (1-2yr),1,1,1,1,1
< 0 DM,10,Existing credits paid till now,Radio/TV,2315,< 100 DM,>= 7 years,3,Male: single,None,4,Real estate,52,None,Own,1,Unskilled resident,1,None,Yes,0,578.75,231.5,46-55,Medium,Short (1yr),1,1,1,1,1
No checking account,12,Critical account,Business,1412,< 100 DM,1-4 years,4,Female: divorced/married,Guarantor,2,Real estate,29,None,Own,2,Highly skilled/self-employed,1,Yes,Yes,0,282.4,117.66666666666667,26-35,Medium,Short (1yr),0,0,0,1,1
0-200 DM,18,Critical account,Furniture/equipment,1295,< 100 DM,< 1 year,4,Female: divorced/married,None,1,Savings/life insurance,27,None,Own,2,Skilled employee,1,None,Yes,0,259.0,71.94444444444444,26-35,Low,Medium (1-2yr),1,0,0,0,1
0-200 DM,36,Existing credits paid till now,Education,12612,100-500 DM,1-4 years,1,Male: single,None,4,Unknown/none,47,None,For free,1,Skilled employee,2,Yes,Yes,1,6306.0,350.3333333333333,46-55,Very High,Long (2-4yr),1,1,0,0,0
< 0 DM,18,Existing credits paid till now,Car (new),2249,100-500 DM,4-7 years,4,Male: single,None,3,Car or other,30,None,Own,1,Highly skilled/self-employed,2,Yes,Yes,0,449.8,124.94444444444444,26-35,Medium,Medium (1-2yr),1,1,1,0,1
< 0 DM,12,No credits/all paid,Repairs,1108,< 100 DM,4-7 years,4,Male: single,None,3,Real estate,28,None,Own,2,Skilled employee,1,None,Yes,1,221.6,92.33333333333333,26-35,Low,Short (1yr),1,1,1,1,1
No checking account,12,Critical account,Radio/TV,618,< 100 DM,>= 7 years,4,Male: single,None,4,Real estate,56,None,Own,1,Skilled employee,1,None,Yes,0,123.6,51.5,55+,Low,Short (1yr),0,0,1,1,1
< 0 DM,12,Critical account,Car (used),1409,< 100 DM,>= 7 years,4,Male: single,None,3,Real estate,54,None,Own,1,Skilled employee,1,None,Yes,0,281.8,117.41666666666667,46-55,Medium,Short (1yr),1,0,1,1,1
No checking account,12,Critical account,Radio/TV,797,Unknown/none,>= 7 years,4,Female: divorced/married,None,3,Savings/life insurance,33,Bank,Own,1,Unskilled resident,2,None,Yes,1,159.4,66.41666666666667,26-35,Low,Short (1yr),0,0,1,0,1
>= 200 DM,24,Critical account,Furniture/equipment,3617,Unknown/none,>= 7 years,4,Male: single,Co-applicant,4,Unknown/none,20,None,Rent,2,Skilled employee,1,None,Yes,0,723.4,150.70833333333334,18-25,High,Medium (1-2yr),1,0,1,0,0
0-200 DM,12,Existing credits paid till now,Car (new),1318,>= 1000 DM,>= 7 years,4,Male: single,None,4,Real estate,54,None,Own,1,Skilled employee,1,Yes,Yes,0,263.6,109.83333333333333,46-55,Low,Short (1yr),1,1,1,1,1
0-200 DM,54,No credits/all paid,Business,15945,< 100 DM,< 1 year,3,Male: single,None,4,Unknown/none,58,None,Rent,1,Skilled employee,1,Yes,Yes,1,3986.25,295.27777777777777,55+,Very High,Very Long (4yr+),1,1,0,0,0
No checking account,12,Critical account,Education,2012,Unknown/none,4-7 years,4,Female: divorced/married,None,2,Car or other,61,None,Own,1,Skilled employee,1,None,Yes,0,402.4,167.66666666666666,55+,Medium,Short (1yr),0,0,1,0,1
0-200 DM,18,Existing credits paid till now,Business,2622,100-500 DM,1-4 years,4,Male: single,None,4,Car or other,34,None,Own,1,Skilled employee,1,None,Yes,0,524.4,145.66666666666666,26-35,High,Medium (1-2yr),1,1,0,0,1
0-200 DM,36,Critical account,Radio/TV,2337,< 100 DM,>= 7 years,4,Male: single,None,4,Real estate,36,None,Own,1,Skilled employee,1,None,Yes,0,467.4,64.91666666666667,36-45,High,Long (2-4yr),1,0,1,1,1
0-200 DM,20,Delay in past payments,Car (used),7057,Unknown/none,4-7 years,3,Male: single,None,4,Savings/life insurance,36,Bank,Rent,2,Highly skilled/self-employed,2,Yes,Yes,0,1764.25,352.85,36-45,Very High,Medium (1-2yr),1,0,1,0,0
No checking account,24,Existing credits paid till now,Car (new),1469,100-500 DM,>= 7 years,4,Male: married/widowed,None,4,Real estate,41,None,Rent,1,Unskilled resident,1,None,Yes,0,293.8,61.208333333333336,36-45,Medium,Medium (1-2yr),0,1,1,1,0
0-200 DM,36,Existing credits paid till now,Radio/TV,2323,< 100 DM,4-7 years,4,Male: single,None,4,Car or other,24,None,Rent,1,Skilled employee,1,None,Yes,0,464.6,64.52777777777777,18-25,High,Long (2-4yr),1,1,1,0,0
No checking account,6,Delay in past payments,Radio/TV,932,< 100 DM,1-4 years,3,Female: divorced/married,None,2,Real estate,24,None,Own,1,Skilled employee,1,None,Yes,0,233.0,155.33333333333334,18-25,Low,Short (1yr),0,0,0,1,1
0-200 DM,9,Critical account,Furniture/equipment,1919,< 100 DM,4-7 years,4,Male: single,None,3,Car or other,35,None,Rent,1,Skilled employee,1,Yes,Yes,0,383.8,213.22222222222223,26-35,Medium,Short (1yr),1,0,1,0,0
No checking account,12,Existing credits paid till now,Car (used),2445,Unknown/none,< 1 year,2,Male: married/widowed,None,4,Car or other,26,None,Rent,1,Skilled employee,1,Yes,Yes,0,815.0,203.75,26-35,High,Short (1yr),0,1,0,0,0
0-200 DM,24,Critical account,Others,11938,< 100 DM,1-4 years,2,Male: single,Co-applicant,3,Car or other,39,None,Own,2,Highly skilled/self-employed,2,Yes,Yes,1,3979.3333333333335,497.4166666666667,36-45,Very High,Medium (1-2yr),1,0,0,0,1
No checking account,18,All credits paid at this bank,Car (new),6458,< 100 DM,>= 7 years,2,Male: single,None,4,Unknown/none,39,Bank,Own,2,Highly skilled/self-employed,2,Yes,Yes,1,2152.6666666666665,358.77777777777777,36-45,Very High,Medium (1-2yr),0,1,1,0,1
0-200 DM,12,Existing credits paid till now,Car (new),6078,< 100 DM,4-7 years,2,Male: single,None,2,Car or other,32,None,Own,1,Skilled employee,1,None,Yes,0,2026.0,506.5,26-35,Very High,Short (1yr),1,1,1,0,1
< 0 DM,24,Existing credits paid till now,Furniture/equipment,7721,Unknown/none,< 1 year,1,Female: divorced/married,None,2,Savings/life insurance,30,None,Own,1,Skilled employee,1,Yes,No,0,3860.5,321.7083333333333,26-35,Very High,Medium (1-2yr),1,1,0,0,1
